"bibtex_key","title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","selection_criteria","created_at","updated_at","created_by","updated_by","status","comments"
"","Machine Learning Approaches for Effective Energy-Efficient Resource Management Strategies in Cloud Services","Chauhan A.","  Advanced Computing Techniques for Optimization in Cloud  ","2024","jalon2","","","undefined","","https://doi.org/10.1201/9781003457152-4","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","A wavelet-based sampling algorithm for wireless sensor networks applications","Aquino A.","  Proceedings of the ACM Symposium on Applied Computing  ","2010","jalon2","","","undefined","","https://doi.org/10.1145/1774088.1774433","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Data-driven Urban Energy Simulation (DUE-S): A framework for integrating engineering simulation and machine learning methods in a multi-scale urban energy modeling workflow","Nutkiewicz A.","  Applied Energy  ","2018","jalon2","","","undefined","","https://doi.org/10.1016/j.apenergy.2018.05.023","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Data-driven Energy-efficient Adaptive Sampling Using Deep Reinforcement Learning","Demirel B.U.","  ACM Transactions on Computing for Healthcare  ","2023","jalon2","","","undefined","","https://doi.org/10.1145/3598301","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","On-line early fault detection of a centrifugal chiller based on data driven approach","Durán C.","  ASME 2016 10th International Conference on Energy Sustainability Es 2016 Collocated with the ASME 2016 Power Conference and the ASME 2016 14th International Conference on Fuel Cell Science Engineering and Technology  ","2016","jalon2","","","undefined","","https://doi.org/10.1115/ES2016-59291","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Autoencoder-Embedded Iterated Local Search for Energy-Minimized Task Schedules of Human-Cyber-Physical Systems","Lin C.","  IEEE Transactions on Automation Science and Engineering  ","2025","jalon2","","","undefined","","https://doi.org/10.1109/TASE.2023.3267714","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","BRISE: Energy-efficient benchmark reduction","Pukhkaiev D.","  Proceedings International Conference on Software Engineering  ","2018","jalon2","","","undefined","","https://doi.org/10.1145/3194078.3194082","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","AI-Enabled Autonomous Drones for Fast Climate Change Crisis Assessment","Hernandez D.","  IEEE Internet of Things Journal  ","2022","jalon2","","","undefined","","https://doi.org/10.1109/JIOT.2021.3098379","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Evaluation of the field-programmable cache: Performance and energy consumption","Benitez D.","  Proceedings of the 3rd Conference on Computing Frontiers 2006 Cf 06  ","2006","jalon2","","","undefined","","https://doi.org/10.1145/1128022.1128070","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","A Reinforcement Learning Based Framework for Holistic Energy Optimization of Sustainable Cloud Data Centers","Zhao D.","  IEEE Transactions on Services Computing  ","2025","jalon2","","","undefined","","https://doi.org/10.1109/TSC.2024.3495495","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Integrating Generative AI into Predictive Modeling for Energy Efficiency Optimization in Building Design","Tahat D.N.","  Studies in Computational Intelligence  ","2025","jalon2","","","undefined","","https://doi.org/10.1007/978-3-031-89175-5_36","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","INTEGRATING MACHINE LEARNING INTO THE DESIGN OF GREEN BUILDING SYSTEMS","Payne E.","  Proceedings of the ASME Design Engineering Technical Conference  ","2024","jalon2","","","undefined","","https://doi.org/10.1115/DETC2024-143653","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","FedLoRa: IoT Spectrum Sensing Through Fast and Energy-Efficient Federated Learning in LoRa Networks","Busacca F.","  Proceedings 2024 IEEE 21st International Conference on Mobile Ad Hoc and Smart Systems Mass 2024  ","2024","jalon2","","","undefined","","https://doi.org/10.1109/MASS62177.2024.00047","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Prediction of Rut Depth in Soil Caused by Wheels Using Artificial Neural Networks","Nashmil F.","  Journal of Agricultural Machinery  ","2025","jalon2","","","undefined","","https://doi.org/10.22067/jam.2024.90273.1295","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Evaluating the sensitivity of the landslide event using the support vector machine algorithm","Rostamizad G.","  Water and Soil Management and Modeling  ","2024","jalon2","","","undefined","","https://doi.org/10.22098/mmws.2023.13934.1379","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Coupling simulation-based and machine learning methodologies for energy optimization and environmental impact mitigation in buildings","Mihalakakou G.","  Journal of Building Engineering  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.jobe.2025.113809","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Recent progress in research and applications of monocular and binocular depth estimation (invited)","Hu H.","  Infrared and Laser Engineering  ","2025","jalon2","","","undefined","","https://doi.org/10.3788/IRLA20250157","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Deep-Learning-Based Resource Allocation for Transmit Power Minimization in Uplink NOMA IoT Cellular Networks","Park H.J.","  IEEE Transactions on Cognitive Communications and Networking  ","2023","jalon2","","","undefined","","https://doi.org/10.1109/TCCN.2023.3254515","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","E3-UAV: An Edge-Based Energy-Efficient Object Detection System for Unmanned Aerial Vehicles","Suo J.","  IEEE Internet of Things Journal  ","2024","jalon2","","","undefined","","https://doi.org/10.1109/JIOT.2023.3301623","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","The Role of Artificial Intelligence and Knowledge in Enhancing Corporate Sustainability","Gandía J.A.G.","  Journal of Innovation and Knowledge  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.jik.2025.100792","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","A nonlinear interactive grey multivariable model based on dynamic compensation for forecasting the economy-energy-environment system","Ye L.","  Applied Energy  ","2023","jalon2","","","undefined","","https://doi.org/10.1016/j.apenergy.2022.120189","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Electricity peak shaving for commercial buildings using machine learning and vehicle to building (V2B) system","Ghafoori M.","  Applied Energy  ","2023","jalon2","","","undefined","","https://doi.org/10.1016/j.apenergy.2023.121052","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","An FPGA Prototype for Parkinson’s Disease Detection using Machine Learning on Voice Signal","Khan M.","  IEEE Access  ","2025","jalon2","","","undefined","","https://doi.org/10.1109/ACCESS.2025.3572092","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Transient modeling and data-driven optimization of a hybrid geothermal–solar energy system for eco-friendly multigeneration: A case study approach to sustainable urban development","Ben Slimene M.","  Process Safety and Environmental Protection  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.psep.2025.107717","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Data-Driven Vehicle Specification of Conventional and Electric Heavy-Duty Commercial Trucks for Improved Energy Consumption","Villani M.","  SAE International Journal of Commercial Vehicles  ","2025","jalon2","","","undefined","","https://doi.org/10.4271/02-18-03-0018","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Integrating BIM, Machine Learning, and PMBOK for Green Project Management in Saudi Arabia: A Framework for Energy Efficiency and Environmental Impact Reduction","Abuhussain M.","  Buildings  ","2025","jalon2","","","undefined","","https://doi.org/10.3390/buildings15173031","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Energy-Efficient Computing with Probabilistic Magnetic Bits - Performance Modeling and Comparison Against Probabilistic CMOS Logic","Rangarajan N.","  IEEE Transactions on Magnetics  ","2017","jalon2","","","undefined","","https://doi.org/10.1109/TMAG.2017.2696041","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Deep transfer learning for sustainable waste management: Real-time waste segregation apparatus using a two-phase CNN framework","Almtireen N.","  Journal of Supercomputing  ","2025","jalon2","","","undefined","","https://doi.org/10.1007/s11227-025-07931-2","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","A data-driven approach to assess the impact of road infrastructure on platoon cohesion and CO2 emissions","Hadjidimitriou N.S.","  Journal of Intelligent Transportation Systems Technology Planning and Operations  ","2025","jalon2","","","undefined","","https://doi.org/10.1080/15472450.2025.2584220","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Optimization of the design of the primary school classrooms in terms of energy and daylight performance considering occupants’ thermal and visual comfort","Bakmohammadi P.","  Energy Reports  ","2020","jalon2","","","undefined","","https://doi.org/10.1016/j.egyr.2020.06.008","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Optimizing the thermostat setting points of residential and insulated buildings in the direction of economic efficiency and thermal comfort through advanced multi-purpose techniques","He P.","  Energy and Buildings  ","2025","jalon2","","","undefined","","https://doi.org/10.1016/j.enbuild.2025.115428","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
"","Full analysis and deep learning optimization of a sustainable and eco-friendly power plant to generate green hydrogen and electricity; A zero-carbon approach","Asadbagi P.","  Process Safety and Environmental Protection  ","2024","jalon2","","","undefined","","https://doi.org/10.1016/j.psep.2024.07.029","","","","","","","","","","46004.457916667","46004.457916667","Imed","","Unclassified",""
